date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2015-07-27,19327.770780856423,157.43073047858942,19062.631357713326,420.34468263976464,22312.992125984252,328.0839895013123,20000.0,0.0,20000.0,0.0,100703.394264554,-0.008034297904928711,1.0070339426455392
2015-07-28,19423.803526448362,157.43073047858942,19058.42791088693,420.34468263976464,22326.115485564304,328.0839895013123,20000.0,0.0,20000.0,0.0,100808.3469228996,0.0010421958377082596,1.0080834692289953
2015-07-29,19362.40554156171,157.43073047858942,19457.755359394705,420.34468263976464,22618.11023622047,328.0839895013123,20000.0,0.0,20000.0,0.0,101438.27113717688,0.0062487307202752085,1.014382711371768
2015-07-30,19264.79848866499,157.43073047858942,19705.758722152168,420.34468263976464,22650.918635170605,328.0839895013123,20000.0,0.0,20000.0,0.0,101621.47584598776,0.0018060708917557733,1.0162147584598769
2015-07-31,19096.347607052896,157.43073047858942,19630.09667927701,420.34468263976464,22483.595800524934,328.0839895013123,20000.0,0.0,20000.0,0.0,101210.04008685483,-0.004048708756763997,1.0121004008685475
2015-08-03,18646.09571788413,157.43073047858942,19676.334594367385,420.34468263976464,22483.595800524934,328.0839895013123,20000.0,0.0,20000.0,0.0,100806.02611277645,-0.003991836913923463,1.0080602611277636
2015-08-04,18047.858942065493,157.43073047858942,19983.18621269441,420.34468263976464,22460.62992125984,328.0839895013123,20000.0,0.0,20000.0,0.0,100491.67507601975,-0.003118375447168531,1.0049167507601964
2015-08-05,18167.50629722922,157.43073047858942,20000.0,420.34468263976464,22549.212598425198,328.0839895013123,20000.0,0.0,20000.0,0.0,100716.71889565443,0.002239427489535206,1.0071671889565432
2015-08-06,18125.0,157.43073047858942,19596.469104665826,420.34468263976464,22391.732283464567,328.0839895013123,20000.0,0.0,20000.0,0.0,100113.2013881304,-0.005992227647420578,1.001132013881303
2015-08-07,18186.39798488665,157.43073047858942,19646.9104665826,420.34468263976464,22326.115485564304,328.0839895013123,20000.0,0.0,20000.0,0.0,100159.42393703356,0.0004617028350133445,1.0015942393703345
2015-08-10,18847.607052896725,157.43073047858942,19894.91382934006,420.34468263976464,22601.706036745407,328.0839895013123,20000.0,0.0,20000.0,0.0,101344.2269189822,0.011829171288899154,1.0134422691898208
2015-08-11,17866.813602015114,157.43073047858942,19508.196721311477,420.34468263976464,22385.17060367454,328.0839895013123,20000.0,0.0,20000.0,0.0,99760.18092700113,-0.015630352513788526,0.9976018092700102
2015-08-12,18142.317380352644,157.43073047858942,19646.9104665826,420.34468263976464,22060.367454068237,328.0839895013123,20000.0,0.0,20000.0,0.0,99849.59530100349,0.0008962932221201481,0.9984959530100337
