date,permno,ticker,comnam,namedt,nameendt,prc,vol,ret
2024-07-23,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.27,132235.0,-0.003005
2024-07-22,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.31,295789.0,0.013709
2024-07-22,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,487.39999,11869081.0,0.022253
2024-07-19,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.13,193111.0,-0.00228
2024-07-19,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,476.79001,14958386.0,0.001975
2024-07-18,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.16,296532.0,-0.012012
2024-07-18,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,475.85001,19078092.0,0.030001
2024-07-17,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,461.98999,27798901.0,-0.056759
2024-07-17,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.32,366690.0,-0.029155
2024-07-16,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.72,226276.0,0.002924
2024-07-16,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,489.79001,13961894.0,-0.012839
2024-07-15,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,496.16,12413918.0,-0.005432
2024-07-15,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.68,323009.0,0.007364
2024-07-12,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,498.87,19516292.0,-0.026975
2024-07-12,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.58,238627.0,0.010417
2024-07-11,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,512.70001,16325448.0,-0.041127
2024-07-11,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.44,282093.0,-0.011765
2024-07-10,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,534.69,10908410.0,0.008849
2024-07-10,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.6,227234.0,0.011905
2024-07-09,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.44,184196.0,0.003734
2024-07-09,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,530.0,8706449.0,0.001285
2024-07-08,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,529.32001,14804377.0,-0.019614
2024-07-08,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.39,299050.0,0.005255
2024-07-05,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.32,231118.0,0.008327
2024-07-05,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,539.90997,21244571.0,0.05873
2024-07-03,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.21,105390.0,0.003037
2024-07-03,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,509.95999,5976196.0,0.000903
2024-07-02,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,509.5,7685330.0,0.009551
2024-07-02,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.17,156968.0,0.007651
2024-07-01,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.07,180363.0,0.001533
2024-07-01,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,504.67999,10192012.0,0.000912
2024-06-28,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.05,148828.0,-0.008359
2024-06-28,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,504.22,15646749.0,-0.029525
2024-06-27,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,519.56,10337649.0,0.012551
2024-06-27,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.16,161639.0,0.003049
2024-06-26,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,513.12,8818895.0,0.004935
2024-06-26,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,13.12,169681.0,0.006907
2024-06-25,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,510.60001,11998856.0,0.023431
2024-06-25,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,13.03,195724.0,0.013219
2024-06-24,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.86,248800.0,-0.013804
2024-06-24,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,498.91,13381115.0,0.008347
2024-06-21,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,13.04,225232.0,-0.003058
2024-06-21,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,494.78,23016308.0,-0.013793
2024-06-20,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,13.08,255080.0,-0.01059
2024-06-20,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,501.70001,11707588.0,0.004425
2024-06-18,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,499.48999,12940844.0,-0.014093
2024-06-18,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,13.22,214160.0,0.003035
2024-06-17,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,13.18,246989.0,0.010736
2024-06-17,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,506.63,11273133.0,0.004899
2024-06-14,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,504.16,10706036.0,0.001111
2024-06-14,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,13.04,139757.0,0.000767
2024-06-13,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,504.10001,9896972.0,-0.009315
2024-06-13,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,13.03,227289.0,-0.003823
2024-06-12,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,13.08,343443.0,0.018692
2024-06-12,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,508.84,11867294.0,0.0027
2024-06-11,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,507.47,9605235.0,0.00969
2024-06-11,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.84,220171.0,0.004695
2024-06-10,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,502.60001,11121229.0,0.019555
2024-06-10,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.78,241976.0,0.002353
2024-06-07,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.75,173408.0,-0.004684
2024-06-07,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,492.95999,9331238.0,-0.00162
2024-06-06,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,493.76001,10537855.0,-0.002626
2024-06-06,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.81,230668.0,0.000781
2024-06-05,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.8,347471.0,0.022364
2024-06-05,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,495.06,15430294.0,0.037883
2024-06-04,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,476.98999,6968857.0,-0.001047
2024-06-04,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.52,216382.0,0.005623
2024-06-03,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.45,245971.0,0.012195
2024-06-03,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,477.48999,11078177.0,0.022835
2024-05-31,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.3,210196.0,-0.000812
2024-05-31,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,466.82999,16656127.0,-0.000471
2024-05-30,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,467.04999,10559928.0,-0.01541
2024-05-30,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.31,212479.0,-0.008058
2024-05-29,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.41,179880.0,-0.010367
2024-05-29,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,474.35999,9121768.0,-0.011585
2024-05-28,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.54,266956.0,0.006421
2024-05-28,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,479.92001,10028653.0,0.003555
2024-05-24,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,478.22,11900102.0,0.026708
2024-05-24,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.46,111154.0,0.010543
2024-05-23,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,465.78,11609429.0,-0.004276
